_id,salaryMin,salaryMax
85b5v,28590,35000
8dl2v,38000,40000
7xjej,33000,50000
85hzx,50000,75000
8tlsi,45000,52000
2up6f,35000,50000
8dljs,42000,52000
81s8v,76923,96153
7x2j4,45000,65000
8rc81,35000,45000
8s4xg,50000,60000
7s3qk,40000,70000
778f0,36000,70000
8uzo8,30000,32000
6hga1,38000,45000
87mt5,35000,60000
76vh7,40000,65000
7w5gb,50000,50000
6q1p3,35000,46000
83hh4,35000,65000
8dge1,48000,65000
8rlwt,32000,60000
8t9lz,30000,60000
81y0n,35000,55000
78tin,35000,46000
6g4d3,35000,50000
xpij,35000,46000
8mvlf,32000,40000
83hhu,29500,53500
8rprr,35000,60000
7f0u0,40000,60000
8e2te,48000,65000
8bcqa,30000,70000
78u7l,35000,50000
3sy0m,38000,75000
8rts3,33000,40000
7mcuu,30000,100000
8ot7w,45000,65000
8s32t,32000,45000
8k7cu,60000,80000
8uuby,45000,100000
89nrc,40000,200000
6e9c4,35000,50000
8a8ck,38000,60000
69gfr,35000,46000
8w4lw,35000,48000
8sqrg,35000,50000
8r65t,36000,45000
8srxd,40000,70000
8w319,35000,48000
8hpj7,40000,80000
8m9wk,35000,50000
7or0m,42000,120000
7sg6y,40000,200000
8k6z0,35000,45000
8ol9n,40000,55000
8vihf,35000,48000
8t3eq,40000,55000
8bfac,50000,70000
8arx9,50000,60000
8vfiy,42000,50000
7zunk,35000,60000
8sn80,33000,45000
eehd,35000,50000
8t3fq,35000,45000
8trni,32000,36000
8j11m,32000,46000
8fm5r,35000,52000
8w2yh,35000,48000
893zs,30000,50000
8kmv7,30000,38000
7jasb,33300,36300
8vf8s,32000,46000
8os97,76923,92307
8szn4,40000,50000
8fm63,33000,42000
8dz0d,30000,45000
8vpok,33000,38000
7bjn9,33300,36300
8k3hz,32000,36000
8a8c7,38000,60000
6q5ep,40000,52000
